metric,kind,target,available,n_features,n,mae,rmse,r2,bias,gain,gain_se,gain_t,material,rank
adj_finishing_drives,adjusted,residual_total,True,1,5778,12.715239576112763,16.04235340076936,-0.0005688966922805516,0.041422319468055975,-0.010367648109994557,0.01012702117813645,-1.0237608796925994,False,3.0
def_explosiveness,raw,residual_total,True,1,5778,12.715690951619047,16.04191375526917,-0.0005140556631204607,-0.003811683352368248,-0.01081902361627768,0.006410338031012675,-1.6877461943404788,False,4.0
finishing_drives,raw,residual_total,True,1,5778,12.717249178102549,16.03655607793249,0.00015413597841784643,0.0030598815926788777,-0.012377250099778442,0.009454889081281104,-1.3090846432332095,False,5.0
adj_explosiveness,adjusted,residual_total,True,1,5778,12.717490317461623,16.04293963403934,-0.0006420253011449883,0.005571776909805444,-0.01261838945885324,0.006471046833874222,-1.949976531277645,False,6.0
adj_def_pace,adjusted,residual_total,True,1,5778,12.717550799366036,16.039166987449534,-0.00017146006320301055,-0.0010834317370629141,-0.012678871363266453,0.007351858083379652,-1.724580537256232,False,7.0
adj_off_epa,adjusted,residual_total,True,1,5778,12.717567175239067,16.04009921338456,-0.0002877270577745783,0.031866477088420796,-0.012695247236298187,0.009104551518548186,-1.3943846888487457,False,8.0
adj_success_rate,adjusted,residual_total,True,1,5778,12.71776254560937,16.03879819792447,-0.00012546658766865448,0.016690154597460247,-0.012890617606600893,0.00868096048172402,-1.4849298800218527,False,9.0
adj_def_explosiveness,adjusted,residual_total,True,1,5778,12.717817809947874,16.042792308930615,-0.0006236472455463105,0.001348923126287845,-0.012945881945106312,0.006054461930871073,-2.138238227099357,False,10.0
explosiveness,raw,residual_total,True,1,5778,12.718318799007587,16.041308795471295,-0.00043859591718531377,-5.321493844816849e-05,-0.013446871004818563,0.007213918722564586,-1.8640175363714286,False,11.0
adj_def_epa,adjusted,residual_total,True,1,5778,12.71917342868474,16.04292498492878,-0.0006401978917927043,0.01277803763161562,-0.014301500681972654,0.006252685255865843,-2.287257409695452,False,12.0
adj_def_success_rate,adjusted,residual_total,True,1,5778,12.719426399497147,16.043073236448958,-0.0006586916659707676,0.002145827732400327,-0.014554471494379688,0.005769666685759717,-2.522584455407451,False,13.0
adj_def_finishing_drives,adjusted,residual_total,True,1,5778,12.719577007044824,16.043197087138076,-0.0006741416667379596,0.02926569755242189,-0.014705079042056132,0.006418805547223947,-2.2909369872430383,False,14.0
havoc,raw,residual_total,True,1,5778,12.720097559159358,16.045786451867492,-0.0009971844388259044,-0.007448243017272778,-0.015225631156587097,0.005635924887396885,-2.7015319509730897,False,15.0
pace,raw,residual_total,True,1,5778,12.720308915040992,16.046910578558172,-0.0011374439482843002,-0.013228626105022021,-0.015436987038221344,0.005693364135558007,-2.711399915879149,False,16.0
def_success_rate,raw,residual_total,True,1,5778,12.720762081592609,16.04539567329305,-0.0009484285251559754,0.008363776251307603,-0.015890153589835764,0.005697841318618592,-2.788802408012345,False,17.0
adj_pace,adjusted,residual_total,True,1,5778,12.72109418584541,16.04802211277978,-0.001276141931872532,-0.02129997613586415,-0.016222257842641197,0.005452707297464064,-2.9750831940283713,False,18.0
def_epa,raw,residual_total,True,1,5778,12.721350428377479,16.045950051504814,-0.001017596478045002,0.015065995344326129,-0.016478500374709264,0.006000838690355687,-2.7460328839021892,False,19.0
adj_havoc,adjusted,residual_total,True,1,5778,12.721392231076793,16.046517314365463,-0.0010883744800669337,0.008993592830146686,-0.016520303074022052,0.006039900576619832,-2.735194539123932,False,20.0
adj_havoc_allowed,adjusted,residual_total,True,1,5778,12.721751138080434,16.045123153188452,-0.0009144279608177541,0.017533864268591173,-0.016879210077665678,0.006196381523559182,-2.7240430585962874,False,21.0
pace,raw,total,True,1,5778,13.53105241289039,17.067725915866546,0.04479656449089653,-0.003328273865902639,0.31489161345600575,0.04842867416607131,6.502172914669962,True,1.0
adj_pace,adjusted,total,True,1,5778,13.583305982082875,17.141480432539502,0.03652331396331876,-0.04725198575167483,0.262638044263518,0.0455597937153733,5.764689056853558,True,2.0
