variable,target,available,n_features,standalone_mae,standalone_gain,rmse,r2,note,gain_over_market,market_plus_mae,gain_se,gain_t,material,rank_standalone,rank_over_market
Finishing Drives,total,True,1,13.787044862068218,0.058899164278173544,17.412472882558045,0.005818993571032327,,-0.0011435055887402943,12.70400729434656,0.004278763902498948,-0.26725138726921743,False,7.0,7.0
Market Spread,total,True,1,13.821580464705175,0.024363561641216336,17.46064400326585,0.00031063667200748046,"closing consensus, home-oriented",,,,,,8.0,
Neutral Site,total,True,1,13.836319545196073,0.009624481150318331,17.46981300330887,-0.0007395603878455059,,0.0031601058488653776,12.699703682908956,0.00485202219896304,0.6512966592652331,False,9.0,2.0
Rest,total,True,1,13.845897177186586,4.6849159804907003e-05,17.48563199624037,-0.00255272912753024,,-0.00467731095340244,12.707541099711221,0.0018138480606072524,-2.5786674501482434,False,10.0,12.0
Havoc,total,True,1,13.847255726175197,-0.0013116998288058568,17.477867971402684,-0.0016626136100235112,,-0.0017707547496472868,12.704634543507467,0.0010630706818471898,-1.6656980386011835,False,11.0,10.0
Travel,total,True,1,13.847337947754957,-0.001393921408565646,17.48586118492576,-0.0025790107338137247,,-0.0006545915510847665,12.703518380308905,0.001455412170972372,-0.44976369178459524,False,12.0,5.0
FPI,total,True,1,13.847660658372078,-0.0017166320256869483,17.488087212485105,-0.0028342924773572253,"ESPN, previous season",-0.0009057032863681453,12.703769492044186,0.00413313692574393,-0.2191321755460899,False,13.0,6.0
Elo,total,True,1,13.850212150807996,-0.004268124461605183,17.489781020640528,-0.0030285608546649634,CFBD pre-game Elo,0.002503447926776228,12.700360340831045,0.004629796241620946,0.5407252924590352,False,14.0,4.0
SP+,total,False,0,,,,,"CFBD, previous season",,,,,False,,
FPI Game Projection,total,False,0,,,,,ESPN pre-game matchup projection,,,,,False,,
Recruiting,total,False,0,,,,,CFBD only,,,,,False,,
Returning Production,total,False,0,,,,,CFBD only,,,,,False,,
Weather,total,False,0,,,,,CFBD only,,,,,False,,
