sport,game_id,kickoff,model,home_margin,home_win_prob,as_of,fetched_at,detail
ncaaf,401868188,2026-09-26T19:30Z,fpi,14.770,0.850,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401856806,2026-09-26T20:00Z,elo,-4.067,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1358 home, 1518 away"
ncaaf,401856806,2026-09-26T20:00Z,fpi,-16.695,0.124,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401856806,2026-09-26T20:00Z,sp_plus,-16.000,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ -7.7 home, 10.8 away"
ncaaf,401862781,2026-09-26T20:00Z,fpi,30.640,0.973,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401856698,2026-09-26T20:15Z,elo,-0.483,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1668 home, 1742 away"
ncaaf,401856698,2026-09-26T20:15Z,fpi,9.485,0.753,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401856698,2026-09-26T20:15Z,sp_plus,4.400,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ 11.6 home, 9.7 away"
ncaaf,401858464,2026-09-26T21:00Z,elo,-4.400,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1537 home, 1705 away"
ncaaf,401858464,2026-09-26T21:00Z,fpi,-7.845,0.285,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401858464,2026-09-26T21:00Z,sp_plus,-9.700,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ 2.3 home, 14.5 away"
ncaaf,401858466,2026-09-26T21:00Z,elo,17.308,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1933 home, 1580 away"
ncaaf,401858466,2026-09-26T21:00Z,fpi,16.643,0.876,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401858466,2026-09-26T21:00Z,sp_plus,16.500,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ 19.1 home, 5.1 away"
ncaaf,401862785,2026-09-26T21:00Z,elo,-20.067,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1132 home, 1676 away"
ncaaf,401862785,2026-09-26T21:00Z,fpi,-22.364,0.068,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401862785,2026-09-26T21:00Z,sp_plus,-21.400,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ -22.0 home, 1.9 away"
ncaaf,401858239,2026-09-26T22:00Z,elo,10.850,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1612 home, 1414 away"
ncaaf,401858239,2026-09-26T22:00Z,fpi,16.625,0.875,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401858239,2026-09-26T22:00Z,sp_plus,21.100,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ 10.5 home, -8.1 away"
ncaaf,401860892,2026-09-26T22:00Z,fpi,17.733,0.889,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401867909,2026-09-26T22:00Z,fpi,27.844,0.963,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401869961,2026-09-26T22:00Z,elo,-17.483,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1295 home, 1777 away"
ncaaf,401869961,2026-09-26T22:00Z,fpi,-9.600,0.245,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401869961,2026-09-26T22:00Z,sp_plus,-10.700,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ -7.0 home, 6.2 away"
ncaaf,401858238,2026-09-26T22:30Z,elo,27.767,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1895 home, 1291 away"
ncaaf,401858238,2026-09-26T22:30Z,fpi,45.669,0.995,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401858238,2026-09-26T22:30Z,sp_plus,40.600,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ 23.2 home, -14.9 away"
ncaaf,401862780,2026-09-26T22:30Z,elo,-6.900,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1169 home, 1397 away"
ncaaf,401862780,2026-09-26T22:30Z,fpi,-7.546,0.292,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401862780,2026-09-26T22:30Z,sp_plus,-14.400,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ -24.1 home, -7.2 away"
ncaaf,401856696,2026-09-26T23:00Z,elo,8.517,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1863 home, 1721 away"
ncaaf,401856696,2026-09-26T23:00Z,fpi,13.011,0.822,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401856696,2026-09-26T23:00Z,sp_plus,9.000,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ 19.5 home, 13.0 away"
ncaaf,401856814,2026-09-26T23:00Z,elo,-4.900,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1512 home, 1692 away"
ncaaf,401856814,2026-09-26T23:00Z,fpi,-2.866,0.417,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401856814,2026-09-26T23:00Z,sp_plus,-3.900,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ 8.0 home, 14.4 away"
