draft_group_id,slate,starts_at,season,week,player_id_dk,player_id,name,position,team,opponent,salary,status,projection,low,high,p_play,projected_at
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1213340,00-0041561,Carson Beck,QB,ARI,SF,4000.000,,0.800,0.000,0.000,0.048,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1213386,00-0040398,Brady Cook,QB,MIA,KC,4000.000,,0.660,0.000,0.000,0.064,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1213782,00-0040203,Will Howard,QB,PIT,CIN,4000.000,,0.800,0.000,0.000,0.048,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1213928,00-0040464,DJ Uiagalelei,QB,LAC,BUF,4000.000,,0.710,0.000,0.000,0.041,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1214084,00-0039163,C.J. Stroud,QB,HOU,IND,5500.000,,15.990,4.050,25.790,1.000,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1214336,00-0041149,Haynes King,QB,CAR,CLE,4000.000,,0.830,0.000,0.000,0.048,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1215022,00-0039164,Anthony Richardson Sr.,QB,IND,HOU,4000.000,,2.310,0.000,10.530,0.152,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1225681,00-0041251,Jalon Daniels,QB,TB,MIN,4000.000,,2.720,0.000,13.280,0.161,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1228691,00-0040676,Cam Ward,QB,TEN,NYG,5100.000,,14.700,2.800,24.220,1.000,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1272321,00-0040668,Shedeur Sanders,QB,CLE,CAR,4200.000,,2.180,0.000,10.020,0.164,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1286037,00-0040906,Garrett Nussmeier,QB,KC,MIA,4000.000,,0.850,0.000,0.000,0.048,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1286214,00-0041453,Luke Altmyer,QB,DET,NYJ,4000.000,,0.720,0.000,0.000,0.041,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1286260,00-0040691,Jaxson Dart,QB,NYG,TEN,5900.000,IR,8.840,0.000,24.350,0.533,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1286388,00-0041123,Behren Morton,QB,NE,JAX,4000.000,,0.840,0.000,0.000,0.048,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1286803,00-0039851,Drake Maye,QB,NE,JAX,6100.000,,17.290,5.310,27.380,1.000,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1287599,00-0039923,J.J. McCarthy,QB,MIN,TB,4100.000,,0.990,0.000,0.000,0.070,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1287826,00-0040014,Kyle McCord,QB,MIA,KC,4000.000,,2.270,0.000,10.510,0.161,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1287925,00-0041117,Athan Kaliakmanis,QB,WAS,SEA,4000.000,,0.660,0.000,0.000,0.048,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1288113,00-0041092,Taylen Green,QB,CLE,CAR,4000.000,,0.820,0.000,0.000,0.048,2026-09-25T01:05:59+00:00
153769,Main,2026-09-27T17:00:00+00:00,2026,3,1290102,00-0040673,Jalen Milroe,QB,SEA,WAS,4000.000,,0.330,0.000,0.000,0.050,2026-09-25T01:05:59+00:00
