signal_id,created_at,run_id,game_id,season,week,market,book,open_line,entry_line,entry_price,atlas_number,disagreement,direction,selection,model_version
1347002e-0cd8-5625-a3e9-75f03c91f9ab,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401858240,2026,4,total,DraftKings,48.500,48.500,-105.000,55.662,7.162,over,observed,64a8b2aa5365
d17b1cad-e27a-5d33-b82a-227df78493fc,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401858241,2026,4,margin,DraftKings,34.500,34.500,-110.000,25.099,-9.401,away,observed,73d507ab32ad
69409f93-dfd5-579f-857f-03a0ccecca65,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401858241,2026,4,total,DraftKings,59.500,59.500,-110.000,59.710,0.210,over,observed,64a8b2aa5365
03bf5bff-c9e6-5842-8327-e435ae4b3b70,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401858242,2026,4,margin,DraftKings,-14.000,-14.000,-115.000,-6.858,7.142,home,observed,73d507ab32ad
9eeea5b9-32c3-5b6e-b33e-96f0ba3d3745,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401858242,2026,4,total,DraftKings,54.500,48.500,-105.000,54.512,6.012,over,observed,64a8b2aa5365
fe327a87-73fb-510e-8975-7bc4a91581f6,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401858243,2026,4,margin,DraftKings,13.500,12.500,-110.000,13.024,0.524,home,observed,73d507ab32ad
7ac5dc01-660f-58e4-9d57-2468af7a1862,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401858243,2026,4,total,DraftKings,58.500,58.500,-110.000,51.641,-6.859,under,observed,64a8b2aa5365
1544d45a-1c2a-5882-9113-4f303146d1ea,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401858461,2026,4,margin,DraftKings,23.500,21.000,-110.000,21.594,0.594,home,observed,73d507ab32ad
8b60727d-078e-5e10-baa7-a6bd6cfe54c0,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401858461,2026,4,total,DraftKings,47.500,49.500,-108.000,48.119,-1.381,under,observed,64a8b2aa5365
a7845f12-dc8f-54d9-b8d3-e4353e50f2f9,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401858462,2026,4,margin,DraftKings,-1.500,-1.500,-110.000,-0.296,1.204,home,observed,73d507ab32ad
d34a0090-9df9-5bbb-9ccc-c7a2f82f3bae,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401858462,2026,4,total,DraftKings,51.500,56.500,-115.000,59.964,3.464,over,observed,64a8b2aa5365
093ce341-b81a-58b1-8a79-71c42dd7ec91,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401858463,2026,4,margin,DraftKings,4.500,5.500,-110.000,-1.552,-7.052,away,observed,73d507ab32ad
96bddcfd-1115-55cd-b4c9-08f08922bfa1,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401858463,2026,4,total,DraftKings,39.500,38.500,-112.000,45.832,7.332,over,observed,64a8b2aa5365
88e4edcd-b117-573c-81d1-995798b72d61,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401858464,2026,4,margin,DraftKings,-5.500,-5.500,-108.000,-6.143,-0.643,away,observed,73d507ab32ad
